,num_cp
2673,7
2674,5
2675,7
2676,8
2677,7
2678,4
2679,10
2680,5
2681,8
2682,7
2683,8
2684,5
2685,6
2686,6
2687,6
2688,5
2689,8
2690,7
2691,10
2692,6
2693,6
2694,7
2695,9
2696,6
2697,9
2698,6
2699,7
2700,5
2701,7
2702,8
2703,5
2704,7
2705,6
2706,6
2707,5
2708,6
2709,10
2710,8
2711,6
2712,6
2713,7
2714,8
2715,8
2716,7
2717,6
2718,7
2719,5
2720,9
2721,8
2722,6
2723,6
2724,10
2725,8
2726,3
2727,5
2728,5
2729,2
2730,4
2731,7
2732,6
2733,7
2734,7
2735,9
2736,8
2737,5
2738,9
2739,4
2740,7
2741,6
2742,7
2743,7
2744,8
2745,6
2746,8
2747,8
2748,9
2749,7
2750,7
2751,3
2752,6
2753,7
2754,4
2755,8
2756,2
2757,11
2758,5
2759,6
2760,9
2761,9
2762,8
2763,6
2764,6
2765,7
2766,8
2767,5
2768,3
2769,5
2770,5
2771,9
2772,7
2773,6
2774,7
2775,5
2776,4
2777,5
2778,6
2779,10
2780,7
2781,5
2782,5
2783,6
2784,7
2785,8
2786,6
2787,8
2788,7
2789,9
2790,7
2791,7
2792,7
2793,5
2794,8
2795,6
2796,6
2797,4
2798,5
2799,5
2800,7
2801,7
2802,5
2803,6
2804,7
2805,8
2806,6
2807,8
2808,6
2809,6
2810,3
2811,7
2812,8
2813,7
2814,5
2815,7
2816,5
2817,9
2818,5
2819,7
2820,6
2821,7
2822,8
2823,5
2824,7
2825,7
2826,5
2827,7
2828,9
2829,4
2830,6
2831,8
2832,7
2833,4
2834,6
2835,9
2836,5
2837,6
2838,9
2839,9
2840,7
2841,7
2842,9
2843,8
2844,8
2845,8
2846,6
2847,7
2848,4
2849,7
2850,7
2851,7
2852,7
2853,9
2854,8
2855,9
2856,8
2857,5
2858,4
2859,8
2860,8
2861,9
2862,9
2863,7
2864,7
2865,8
2866,6
2867,7
2868,7
2869,6
2870,4
2871,9
2872,5
2873,7
2874,8
2875,6
2876,7
2877,8
2878,4
2879,7
2880,5
2881,5
2882,9
2883,7
2884,6
2885,7
2886,7
2887,7
2888,7
2889,8
2890,7
2891,5
2892,7
2893,9
2894,7
2895,7
2896,5
2897,9
2898,4
2899,5
2900,7
2901,8
2902,7
2903,5
2904,9
2905,7
2906,6
2907,5
2908,6
2909,5
2910,5
2911,7
2912,5
2913,8
2914,7
2915,6
2916,4
2917,8
2918,7
2919,6
2920,5
2921,6
2922,8
2923,8
2924,2
2925,6
2926,10
2927,6
2928,10
2929,5
2930,8
2931,6
2932,6
2933,8
2934,4
2935,4
2936,7
2937,7
2938,4
2939,7
2940,7
2941,7
2942,3
2943,7
2944,4
2945,9
2946,5
2947,6
2948,3
2949,7
2950,7
2951,5
2952,6
2953,8
2954,7
2955,5
2956,8
2957,9
2958,8
2959,8
2960,8
2961,6
2962,8
2963,7
2964,5
2965,7
2966,3
2967,6
2968,8
2969,5
2970,8
2971,7
2972,5
2973,6
2974,2
2975,2
2976,7
2977,5
2978,7
2979,8
2980,7
2981,6
2982,6
2983,6
2984,5
2985,8
2986,7
2987,7
2988,8
2989,8
2990,7
2991,5
